id,sex,gender,age,weight,wght18,height,phys,aspirin,vitc,vite,multivit,calcium,blood,chol,health,smoke100,sm100age,cursmoke,wtchange,exhrs,exintens,degree,program,mstatus,mage,agepub,minschool,travel,techhrs,wkdaysleep,wkendsleep,bmicat
33,1,1,29,287,220,60,1,1,1,1,1,1,1,1,3,No,,3,2,2,2,3,1,2,,19,10,2,10,6,8,3
279,2,2,27,105,115,65,1,1,1,1,1,1,1,1,5,No,,3,1,3,4,3,7,2,,20,15,1,8,8,8,1
209,2,2,32,110,100,63,3,1,1,1,1,1,1,1,5,No,,3,1,2,3,3,1,2,,26,30,3,8,7,9,1
226,2,2,27,120,125,66,1,1,1,1,1,1,1,1,5,No,,3,2,3,3,3,1,2,,21,20,3,15,7,9,1
147,2,2,27,140,125,64,1,1,1,1,1,1,1,1,1,No,,3,1,1,2,3,1,2,,24,10,3,5,7,9,1
284,2,2,27,130,120,66,1,1,1,1,1,1,1,1,5,No,,3,1,3,3,3,1,2,,23,30,1,4,7,8,1
176,1,1,29,195,170,69,1,1,1,1,1,1,1,1,5,No,,3,2,2,3,3,1,2,,22,10,2,8,8,8,2
225,1,1,35,160,155,72,1,1,1,1,1,1,1,1,5,No,,3,2,2,4,3,1,1,32,21,30,3,8,7,8,1
39,2,2,23,154,122,69,1,1,1,1,1,1,1,1,5,No,,3,2,2,2,3,3,2,,22,5,1,10,7,9,1
255,2,2,28,150,140,66,1,1,1,1,1,1,1,1,5,No,,3,2,2,3,3,3,2,,27,7,1,10,7,9,1
77,1,1,29,143,143,68,2,1,1,1,1,1,1,1,5,No,,3,1,3,3,1,2,2,,27,5,1,7,7,8,1
366,2,2,25,122,120,64,2,1,1,1,1,1,1,1,5,No,,3,1,3,4,4,1,2,,23,10,4,8,8,8,1
113,2,2,27,125,120,64,3,1,2,1,2,1,1,1,5,No,,3,1,3,3,4,3,2,,18,20,4,4,6,6,1
240,2,2,25,128,139,65,1,1,1,1,1,1,1,1,3,No,,3,2,2,3,4,2,2,,24,30,3,10,8,8,1
157,2,2,23,145,160,69,1,1,1,1,2,1,1,1,5,No,,3,1,3,3,4,2,2,,21,6,1,7,8,9,1
332,2,2,28,165,145,66,1,,2,,2,,,,3,No,,3,2,4,3,4,3,1,27,25,20,1,7,7,8,2
267,2,2,22,120,145,63,2,1,1,1,1,1,1,1,3,No,,3,1,1,2,4,3,2,,20,30,2,15,5,4,1
314,2,2,22,123,115,66,1,1,1,1,1,1,1,1,3,No,,3,2,2,2,4,2,2,,19,25,1,10,7,9,1
254,2,2,22,150,140,68,1,2,1,1,1,1,1,1,5,No,,3,1,3,3,4,2,1,22,20,20,1,7,8,9,1
70,2,2,25,139,130,62,2,1,1,1,1,1,1,1,3,No,,3,2,2,2,4,3,2,,21,15,2,12,8,8,2
245,2,2,23,145,150,65,1,1,1,1,1,1,1,1,5,No,,3,1,4,4,4,3,2,,22,15,1,7,7,8,1
272,2,2,22,140,130,66,3,1,1,1,1,1,1,1,1,No,,3,2,2,2,4,2,2,,19,10,1,6,8,7,1
